Item,Occasion,Length,Color,Fabric,Care,Style,Lined,Belted,Closure,Sleeve,Neck,Size,Alterations,Purchase.Acquire,Designer,Season
Top,Dressy,Waist,Mustard Yellow,Cotton lace,Hand,"Cardigan, frilly",N,N,Open front,"""3/4"" pouf",Jewel,XL,N,2013,Eshakti,Summer2
Jacket,Work,Waist,Lemon Yellow,Cotton,Dry-clean,Notch Collar,Y,Y,Snap,Elbow,V,14,N,2010,Kenneth Cole,Summer2
Jacket,Work,Below Hip,"Multi, blue, cream",Cotton,Dry-clean,Kimono,Y,Y,Snap,"""3/4""",Jewel,XL,N,2016,Anthropologie,Summer3
Jacket,Casual,Waist,Black,Denim,Machine,"Denim, trad",N,N,Button,Long,Jewel,XL,N,2015,Gap,All
Jacket,Casual,Waist,"Blue, Light",Denim,Machine,"Denim, trad",N,N,Button,Long,Collar,XL,N,2011,Old Navy,All
Jacket,Casual,Waist,"Blue, Dark",Denim,Machine,"Denim, trad",N,N,Button,Long,Collar,XL,N,2013,Talbots,All
Jacket,Casual,Below waist,"Multi, olive, black",Canvas,Machine,Military,N,N,"Zip, Snap",Long,Mandarin,XL,N,2014,JC Penny,All
Jacket,Casual,Waist,"Khaki, brown",Canvas,Machine,Trench,Y,N,Button,Long,Collar,XL,N,2013,Gap,Summer3
Jacket,Work,Below Hip,Multi,"Poly-Cotton, brocade",Machine,Kimono,Y,N,Open front,"""3/4""",Mandarin,3XL,N,2013,Eshakti,Winter3
Jacket,Work,Below Hip,"Pink, Hot","Poly-Cotton, woven",Dry-clean,Day coat,Y,N,Button,"""3/4""",Collar,18,N,2014,Talbots,Winter3
Jacket,Work,Below Hip,"Multi, hot pink, khaki green, white",Canvas,Machine,Day coat,N,N,Zip,Long,Collar,XL,N,2005,Tommy Hilfiger,Summer2
Jacket,Work,Waist,Black,"Poly-Cotton, woven",Dry-clean,Double breast,Y,N,Button,Short,Collar,18,N,2003,LB,Summer2
Jacket,Work,Waist,White,Cotton,Machine,Double breast,N,N,Button,"""3/4""",Collar,20,N,2003,Ralph Lauren,Summer2
Jacket,Work,Waist,White,Cotton blend,Dry-clean,Blazer,Y,N,Button,Long,Notched collar,16,N,2014,Vince Camuto,Summer2
Jacket,Casual,Waist,"Multi, black, gray, white",Cotton knit,Machine,Varsity sweater,N,N,Zip,Long,Sport,XL,N,2015,Torrid,Winter2
Jacket,Dressy,Waist,Black,Faux Fur,Dry-clean,Evening,Y,N,Snap,Wing,Shawl,XL,N,2006,Calvin Klein,Winter2
Jacket,Casual,Long,"Multi, Black, gray, white",Tweed,Dry-clean,Trench,Y,Y,Snap,Sleeveless,Notched collar,24,N,2016,LB,Winter3
Jacket,Work,Waist,"Gray, white",Seersucker,Dry-clean,Blazer,Y,N,Button,Long,Notched collar,16,N,2016,Liz Claiborne,Summer2
Jacket,Work,Waist,"Navy, white",Seersucker,Dry-clean,Blazer,Y,N,Button,Long,Notched collar,20,N,2013,Talbots,Summer2
Jacket,Work,Waist,Green,Cotton blend,Dry-clean,Blazer,Y,N,Button,Long,Notched collar,20,N,2011,Talbots,All
Jacket,Work,Waist,Salmon,Cotton blend,Dry-clean,Blazer,Y,N,Button,Long,Notched collar,20,N,2011,Talbots,All
Jacket,Work,Waist,Black,Cotton blend,Dry-clean,Blazer,Y,N,Button,Long,Notched collar,20,N,2011,Talbots,All
Jacket,Work,Waist,Bone,Cotton blend,Dry-clean,Blazer,Y,N,Button,Long,Notched collar,20,N,2011,Talbots,All
Jacket,Work,Waist,Khaki,Cotton blend,Dry-clean,Blazer,Y,N,Button,Long,Notched collar,20,N,2012,Talbots,All
Jacket,Work,Waist,Denim,Cotton,Machine,Blazer,N,N,Button,Long,Notched collar,18,N,2016,Talbots,Summer3
